article_id,url,headline,publish_date,companies_ranked,primary_company,company_one_liner,summary_zh_tw,summary_en,fetched_at
80124,https://news.gbimonthly.com/tw/article/show.php?num=80124,09/03《生技股動態》,2025-09-03,"YuZhan Biotech Co., Ltd. (昱展新藥), Polaris Pharmaceuticals Inc. (北極星藥業-KY), OBI Pharma Inc. (浩鼎), Compeet Pharmaceuticals Inc. (康霈), Allgenesis Biotherapeutics Inc. (全福生技), Oneness Biotech Co., Ltd. (合一), SynerMed Inc. (承業醫), Pegavision Corp. (晶碩), White Biotech Inc. (懷特), AmCAD BioMed Corporation (安克), eHealth Bio-Medical Inc. (益安)","YuZhan Biotech Co., Ltd. (昱展新藥)",昱展新藥是一家專注於新藥開發的生技公司，主要產品線涵蓋中樞神經系統疾病等領域的新型治療藥物。,2025年9月3日，生技股動態方面，昱展新藥(6785)收到菲律賓專利核准通知，為其新藥研發進程再添利好。同日，北極星藥業-KY(6550)則公告財務長高一銘辭任，職務異動由張婉妤接任。在當日個股表現上，康霈飆漲9.94%領漲，懷特和安克也分別上漲9.89%和9.84%。跌幅方面，全福生技下跌7.01%，益安和浩鼎也分別下跌5.98%和4.23%。法人買賣超動態顯示，浩鼎獲買超1233張居冠，承業醫和晶碩也獲得法人買超；康霈則遭法人賣超2621張，合一和全福生技也名列法人賣超前茅。,"On September 3, 2025, in the biotech stock market, YuZhan Biotech Co., Ltd. (6785) announced the approval of a patent in the Philippines, marking a positive development for its new drug pipeline. Concurrently, Polaris Pharmaceuticals Inc. (6550) reported a change in its CFO, with Gao Yi-Ming resigning and Zhang Wan-Yu taking over the role. For the day's individual stock performance, Compeet Pharmaceuticals Inc. surged by 9.94%, leading the gainers, while White Biotech Inc. and AmCAD BioMed Corporation also rose by 9.89% and 9.84% respectively. On the losing side, Allgenesis Biotherapeutics Inc. fell by 7.01%, with eHealth Bio-Medical Inc. and OBI Pharma Inc. also declining by 5.98% and 4.23%. Institutional trading data revealed OBI Pharma Inc. as the most bought stock with 1,233 shares, followed by SynerMed Inc. and Pegavision Corp. Conversely, Compeet Pharmaceuticals Inc. saw the largest institutional sell-off with 2,621 shares, while Oneness Biotech Co., Ltd. and Allgenesis Biotherapeutics Inc. also experienced significant institutional selling.",2025-09-03 15:14:29
80131,https://news.gbimonthly.com/tw/article/show.php?num=80131,全福結盟亞果生醫、斥1.5億重押康百事！林羣策略佈局在想什麼？,2025-09-03,"全福生技 (Allgenesis Biotherapeutics Inc.), 康百事生物資訊 (Compath Solutions Inc.), 亞果生醫 (Argon BioMedical Co., Ltd.), 美兆健康 (MJ Health)",全福生技 (Allgenesis Biotherapeutics Inc.),全福生技是一家專注於眼科新藥研發的公司，近期透過策略結盟與投資，積極拓展至精準醫療及再生醫學領域，以強化研發能量並開源穩定現金流。,全福生技(6885)董事長林羣於法人說明會上，除了說明四項眼科產品進展，更宣布兩大策略佈局，旨在將公司從純粹的「眼科新藥公司」轉型為跨足精準醫療與再生醫學的多元生技企業。首先，與亞果生醫(6748)簽署共同研發合作意向書，攜手推進再生醫學創新應用；其次，斥資新台幣1.5億元投資康百事生物資訊，透過轉譯科學結合人工智慧，強化研發能量與效率。林羣坦言，新藥研發耗資甚鉅且回收期漫長，為求穩健的現金流以支撐長期發展，必須同步布局能帶來營收的事業。此次投資康百事，全福並非看中其基因檢測業務，而是其在AI演算法、精準醫療與臨床大數據整合上的能力，康百事已獲美國FDA軟體醫材認證，預計自第三季起將為全福帶來營收挹注。與亞果生醫的合作則採「無對價安排」，林羣強調此舉是為加速產品開發，避免耗費時間於財務細節。此一系列動作，包括先前入主美兆健康，皆是林羣建構跨平台醫療健康生態圈、打造具經濟規模與穩定現金流的國際級生技公司宏圖的一部分。,"Allgenesis Biotherapeutics (6885) Chairman Lin Chuen recently announced two significant strategic initiatives at an investor conference, aiming to transform the company from solely an ""ophthalmology new drug company"" into a broader player in precision and regenerative medicine. The first involves a joint R&D cooperation agreement with Argon BioMedical (6748) to advance regenerative medicine applications. The second is an NT$150 million investment in Compath Solutions Inc., leveraging translational science and artificial intelligence to enhance R&D capabilities and efficiency. Lin Chuen explained that new drug development is capital-intensive with long return periods, necessitating the development of businesses or investments that generate stable cash flow to support long-term growth. Allgenesis's investment in Compath was not for its genetic testing services, but for its core strengths in AI algorithms, precision medicine, and clinical big data integration. Compath's FDA-approved InheriNext software has begun securing orders and is expected to contribute revenue to Allgenesis starting from the third quarter. The collaboration with Argon BioMedical is structured as a ""no consideration arrangement,"" with Lin Chuen emphasizing speed in product development over protracted financial discussions like mergers and acquisitions. These moves, following the earlier acquisition of MJ Health, are part of Lin Chuen's broader vision to build an international-level biotech company focused on economic scale, stable cash flow, and long-term operational value.",2025-09-03 15:14:09
80117,https://news.gbimonthly.com/tw/article/show.php?num=80117,諾和諾德逾2萬人研究！ GLP-1藥降心血管風險57%優於禮來,2025-09-03,"Novo Nordisk, Eli Lilly",Novo Nordisk,諾和諾德是一家全球領先的醫療保健公司，專注於糖尿病、肥胖症、罕見血液疾病和罕見內分泌疾病的治療藥物開發與生產，其明星產品包括GLP-1減重藥物Wegovy。,"美國時間8月31日，諾和諾德公布一項真實世界研究結果，顯示其GLP-1減重藥物Wegovy (semaglutide) 相較於禮來 (Eli Lilly) 的同類藥物Mounjaro/Zepbound (tirzepatide)，能顯著降低未患糖尿病的超重與肥胖患者心臟病發作、中風或死亡風險達57%。此研究涵蓋逾2.1萬名患者，雖非隨機對照試驗，但諾和諾德強調semaglutide的心臟保護效果是其分子獨有。研究指出，持續使用2.4 mg semaglutide的患者，相較於tirzepatide使用者，心血管事件風險降低57%；即便考慮到治療中斷，semaglutide使用者仍可降低29%風險。兩組嚴重心血管不良事件(MACE)發生率皆低。這項數據在2025年歐洲心臟病學會年會上發表，有望為諾和諾德帶來助力，因其在美國市場的市佔率持續受禮來Zepbound蠶食。儘管Wegovy銷售飆升使諾和諾德成為歐洲市值最高企業，但近期該公司宣布凍結全球非關鍵職位招聘，成長力道趨緩，丹麥政府也因此調降2025年經濟成長預測。Wegovy與Zepbound主導減重市場，預計在2030年代初期市場規模將達1,500億美元。美國FDA目前正審查Wegovy的高劑量口服版本，有望於今年底前核准，該口服版在三期臨床試驗中顯示可協助減重15%。然而，此真實世界研究無法如隨機臨床試驗般證明因果關係，且追蹤期短，難以作為長期證據。","On August 31st, U.S. time, Novo Nordisk released real-world study results indicating that its GLP-1 weight-loss drug, Wegovy (semaglutide), significantly reduced the risk of heart attack, stroke, or death by 57% in overweight and obese patients without diabetes, outperforming Eli Lilly's Mounjaro and Zepbound (tirzepatide). The study, which included over 21,000 patients, was not a randomized controlled trial, but Novo Nordisk emphasized that semaglutide's cardiovascular protective effects are unique to its molecular structure. The research showed that patients continuously treated with 2.4 mg semaglutide experienced a 57% reduction in cardiovascular event risk compared to those using tirzepatide; even accounting for treatment interruptions, semaglutide users saw a 29% lower risk. Both treatment groups reported low rates of major adverse cardiovascular events (MACE). These findings, presented at the 2025 European Society of Cardiology Congress, are expected to bolster Novo Nordisk, which faces market share erosion by Eli Lilly's Zepbound in the U.S. Despite Wegovy's soaring sales making Novo Nordisk Europe's most valuable company, a recent global hiring freeze for non-critical positions signals slowing growth, leading the Danish government to lower its 2025 economic growth forecast. Wegovy and Zepbound dominate the weight-loss market, projected to reach $150 billion by the early 2030s. The U.S. FDA is currently reviewing a high-dose oral version of Wegovy, with approval anticipated by year-end; this oral version previously demonstrated a 15% body weight reduction in a Phase 3 trial. However, the article notes that real-world studies cannot establish causality like randomized clinical trials, and the short follow-up period limits its long-term evidential value.",2025-09-03 07:08:45
80115,https://news.gbimonthly.com/tw/article/show.php?num=80115,正揚乾眼症新藥美國臨床三期獲准啟動、與法國Benta簽MOU攻國際市場,2025-09-03,"正揚生醫集團, Cambium Bio, 法國Benta SAS, 科科生醫, 星醫美集團, Cambium Medical Technologies, Regeneus",正揚生醫集團,正揚生醫集團是一家專注於再生醫學新藥開發的生醫公司，透過其控股的澳洲上市公司Cambium Bio，致力於開發如乾眼症新藥Elate Ocular®等創新生物藥物。,正揚生醫集團旗下的澳洲上市公司Cambium Bio，其乾眼症新藥Elate Ocular®已獲美國食品藥物管理局(FDA)批准啟動臨床三期試驗。Elate Ocular®是一款以異體人類血小板裂解液(hPL)為基礎的再生醫學藥物，鎖定中重度乾眼症、角膜受損與免疫性眼表病變，並已獲得FDA的快速通道資格和孤兒藥資格，有助於加速審批流程。此外，Cambium Bio已與法國Benta SAS正式簽署諒解備忘錄(MOU)，將Elate Ocular®推向中東與歐洲市場，Benta SAS所屬的Benta Group是一家業務遍及40多國的黎巴嫩控股公司。同時，Cambium Bio也與星醫美集團旗下的科科生醫簽訂超過兩百萬美元的全球授權合作，將hPL平台應用於牙科與口腔傷口癒合的新領域。Cambium Bio的歷史可追溯至2014年正揚生醫與Cambium Medical Technologies的合作，後者於2024年4月與澳洲上市公司Regeneus合併，更名為Cambium Bio，使正揚集團直接躋身IPO之列並跨足新藥開發。,"Zhengyang Biomedical Group's Australian-listed subsidiary, Cambium Bio, has received approval from the U.S. Food and Drug Administration (FDA) to commence Phase III clinical trials for its dry eye disease new drug, Elate Ocular®. Elate Ocular® is a regenerative medicine drug based on allogeneic human platelet lysate (hPL), targeting moderate-to-severe dry eye disease, corneal damage, and immune-mediated ocular surface diseases. It has also been granted FDA Fast Track Designation and Orphan Drug Designation, which will help accelerate the approval process. Furthermore, Cambium Bio has formally signed a Memorandum of Understanding (MOU) with France's Benta SAS to promote the licensing and cooperation of Elate Ocular® in the Middle East and European markets. Benta SAS is part of the Lebanese Benta Group, a holding company with operations in over 40 countries. Concurrently, Cambium Bio also signed a global licensing cooperation agreement worth over US$2 million with Keke Medtech, a subsidiary of Star Medical Beauty Group, to expand the hPL platform into new areas of dental and oral wound healing. Cambium Bio's origins trace back to a 2014 joint development agreement between Zhengyang Biomedical and Cambium Medical Technologies, which merged with Australian-listed Regeneus in April 2024 and rebranded as Cambium Bio, directly positioning Zhengyang Group among IPO-listed companies and expanding into new drug development.",2025-09-03 05:21:24
80116,https://news.gbimonthly.com/tw/article/show.php?num=80116,第三代ADC賽道起跑！Radiance斥10億美元取中國科弈雙抗ADC,2025-09-03,"Radiance Biopharma, Koyi Biopharma, OBI Pharma, Lumosa Therapeutics, Merck & Co. (MSD), Seagen, Megalith Biopharmaceutical",Radiance Biopharma,Radiance Biopharma是一家波士頓生技公司，專注於抗體藥物複合體(ADC)的開發，並透過策略合作與收購擴展其產品線。,美國波士頓生技公司Radiance Biopharma於9月2日宣布，將以1500萬美元現金及超過10億美元的里程碑付款，取得中國科弈藥業旗下METxEGFR奈米雙抗抗體藥物複合體(ADC)藥物KY-0301的海外開發、註冊及商業化權益。科弈藥業聲稱KY-0301是全球首個奈米雙抗ADC，相較於一般雙抗ADC，其展現出更有效的腫瘤組織穿透性、更高的抗腫瘤活性和安全性。該療法已於2024年獲得美國食品藥物管理局(FDA)新藥臨床試驗(IND)許可，目前正在中國進行臨床一期劑量遞增試驗，有望在非小細胞肺癌、大腸直腸癌、頭頸鱗癌等治療領域帶來新突破。在臺灣，包括台灣浩鼎(4174)與圓祥生技(6945)也積極投入雙抗ADC藥物的開發，其中浩鼎正研發一款標靶c-METx HER3的雙抗x雙藥ADC，圓祥生技則預計於2026年將雙抗ADC產品納入產品線。Radiance的聯合創辦人Marc Lippman曾是ADC領域領先公司Seagen的創始董事會成員，該公司除了自主研發，也透過策略合作與收購擴展產品線，例如今年2月從Megalith Biopharmaceutical收購一款靶向ROR-1的ADC。然而，該領域競爭激烈，默沙東(MSD)的ROR-1 ADC新藥已進入臨床一期，並顯示出100%的完全緩解率(CR)。,"Boston-based biotech company Radiance Biopharma announced on September 2nd its acquisition of overseas development, registration, and commercialization rights for KY-0301, a METxEGFR nanobody antibody-drug conjugate (ADC) from China's Koyi Biopharma. The deal involves an upfront payment of $15 million in cash and over $1 billion in milestone payments. Koyi Biopharma claims KY-0301 is the world's first nanobody ADC, demonstrating superior tumor tissue penetration, higher anti-tumor activity, and improved safety compared to conventional bispecific ADCs. The therapy received US FDA Investigational New Drug (IND) approval in 2024 and is currently undergoing a Phase 1 dose-escalation trial in China, with potential for breakthroughs in non-small cell lung cancer, colorectal cancer, and head and neck squamous cell carcinoma. In Taiwan, OBI Pharma (4174) and Lumosa Therapeutics (6945) are also actively developing bispecific ADC drugs; OBI Pharma is researching a c-METx HER3 bispecific-bispecific ADC, while Lumosa Therapeutics plans to integrate bispecific ADC products into its pipeline by 2026. Radiance's co-founder, Marc Lippman, was a founding board member of Seagen, a leading ADC company. Radiance actively expands its product line through strategic collaborations and acquisitions, including a ROR-1 targeting ADC acquired from Megalith Biopharmaceutical in February. However, the field is highly competitive, with Merck & Co. (MSD) already having a ROR-1 ADC in Phase 1 clinical trials, showing a 100% complete response rate (CR).",2025-09-03 05:21:12
80108,https://news.gbimonthly.com/tw/article/show.php?num=80108,09/03《生醫新聞雷達》,2025-09-03,"禾榮科 (Heron Biomedical Co., Ltd.), 友華集團 (Orient EuroPharma Group), 寶齡富錦生技 (Bionime Pharma Co., Ltd.), 軒郁 (Shiny Brands Co., Ltd.), 美吾華 (Maywufa Biopharm Group), 懷特 (White Medical Co., Ltd.), 旭富 (Active Pharmaceutical Ingredients Co., Ltd.), 喬山 (Johnson Health Tech Co., Ltd.), Neuralink","禾榮科 (Heron Biomedical Co., Ltd.)",禾榮科致力於生醫科技研發，特別是與清華大學合作打造硼中子捕獲治療(BNCT)國際研發基地，專注於癌症治療新技術的開發與應用。,這篇《生醫新聞雷達》報導了多家台灣生醫與科技公司的最新動態。禾榮科與清華大學攜手，共同打造硼中子捕獲治療(BNCT)國際研發基地，顯示其在癌症治療新技術的投入。友華集團則擴大CDMO布局，並與美國合作開發癲癇藥，預計第四季開始銷售。寶齡富錦生技揭示了四大產品藍圖，積極推進新藥研發進程。軒郁以提升雙率為今年主軸，並計劃在第四季推出新品以迎接旺季。美吾華透過實體與電商雙引擎，持續拓展品牌影響力。懷特生技則以兩大核心新藥領軍，加速國際化與保健市場的布局。旭富製藥短期營運雖偏淡，但期待客戶新藥能順利取證。喬山健身器材預計從九月起進入旺季，動能轉強，並看好其集團生產優勢。此外，報導也提及中國正傾盡資源推動腦機介面計畫，目標在五年內打造龍頭企業，以追趕如Neuralink等國際領先者。,"This ""Biomedical News Radar"" report covers the latest developments from several Taiwanese biomedical and technology companies. Heron Biomedical (禾榮科) is collaborating with National Tsing Hua University to establish an international research and development base for Boron Neutron Capture Therapy (BNCT), demonstrating its commitment to new cancer treatment technologies. Orient EuroPharma Group (友華集團) is expanding its CDMO (Contract Development and Manufacturing Organization) footprint and partnering with the US on an epilepsy drug, with sales expected to begin in Q4. Bionime Pharma (寶齡富錦生技) unveiled four major product blueprints, actively advancing its new drug development pipeline. Shiny Brands (軒郁) is focusing on improving ""double rates"" this year and plans to launch new products in Q4 to capitalize on the peak season. Maywufa Biopharm Group (美吾華) continues to expand its brand influence through both physical and e-commerce channels. White Medical (懷特) is leading with two core new drugs, accelerating its internationalization and expansion into the health market. Active Pharmaceutical Ingredients Co., Ltd. (旭富) is experiencing a slow short-term operation but anticipates client new drug approvals. Johnson Health Tech (喬山) expects strong momentum from September as it enters its peak season, leveraging its group's production advantages. Additionally, the report notes that China is dedicating significant resources to a brain-computer interface program, aiming to create a leading enterprise within five years to catch up with international leaders like Neuralink.",2025-09-03 03:17:01
80094,https://news.gbimonthly.com/tw/article/show.php?num=80094,09/02《生醫新聞雷達》,2025-09-02,"安特羅 (Adimmune Corporation), 昱展新藥 (Yung Shin Biomedical), 寶齡富錦 (Panion & BF Biotech Inc.), 緯創醫學 (Wistron Medical Technology), 群創 (Innolux Corporation), TherapiAI, 向榮 (StemCyte Inc.), 大研生醫 (DaYan Biotech), 南光 (Nang Kuang Pharmaceutical Co., Ltd.), 望隼 (Vision Precision Inc.), 長聖 (Steminent Biotherapeutics Inc.)",安特羅 (Adimmune Corporation),安特羅是一家專注於疫苗研發與生產的生技公司，其腸病毒疫苗製程獲准放大，並積極拓展東南亞市場。,這份《生醫新聞雷達》彙整了多則生技與醫療科技產業的最新動態。安特羅的腸病毒疫苗製程獲准放大，將放眼東南亞市場。昱展新藥的多線產品開發進展順利，寵物骨關節疼痛試驗與難治型憂鬱症一期臨床試驗預計年底完成。寶齡富錦的新藥管線與國際市場同步推進，預期下半年營運將有所成長。再生醫療雙法即將於明年施行，向榮生醫的兩項臨床試驗正積極爭取適用。TherapiAI推出ADC AI Agent，旨在協助藥廠搶攻千億美元市場。緯創醫學跨足大健康產業，發表了全新產品iKneego「i膝旺」，預計年底上市。國科會與群創光電合作，成功生產全球首款「可電子調整度數眼鏡」，可用於AR及VA應用。大研生醫預計於9月9日掛牌上市，並於9月3日公開抽籤。南光製藥預估今年營運將持穩向上，並透過跨足下游加速轉型。望隼科技因多市場布局發酵，預期下半年營收將持續成長，全年營收估計增長10-15%。長聖生技8月營收創同期新高，前八月營收年增14.3%。,"This ""Biomedical News Radar"" compiles the latest developments across the biotech and medical technology industries. Adimmune Corporation's enterovirus vaccine manufacturing process has been approved for scale-up, with an eye on the Southeast Asian market. Yung Shin Biomedical is making progress on multiple product pipelines, with trials for pet osteoarthritis pain and Phase 1 for refractory depression expected to conclude by year-end. Panion & BF Biotech Inc. is advancing its new drug pipelines in sync with international markets, anticipating operational growth in the second half of the year. With the Regenerative Medicine Dual Laws set to take effect next year, StemCyte Inc. is actively pursuing applicability for two of its clinical trials. TherapiAI has launched an ADC AI Agent to help pharmaceutical companies capture a multi-billion dollar market. Wistron Medical Technology is expanding into the big health industry, having unveiled its new product iKneego ""i膝旺,"" slated for market launch by year-end. The National Science and Technology Council (NSTC) partnered with Innolux Corporation to produce the world's first ""electronically adjustable prescription glasses,"" suitable for AR and VA applications. DaYan Biotech is scheduled for an IPO listing on September 9th, with public lottery on September 3rd. Nang Kuang Pharmaceutical Co., Ltd. expects stable or improved operations this year, accelerating its transformation by expanding into downstream sectors. Vision Precision Inc. is seeing its multi-market strategies yield results, with revenue growth projected to continue in H2, and full-year revenue estimated to increase by 10-15%. Steminent Biotherapeutics Inc. achieved a new high for August revenue in the same period, with Jan-Aug revenue up 14.3% year-on-year.",2025-09-03 03:19:10
80095,https://news.gbimonthly.com/tw/article/show.php?num=80095,圓祥生技第三項CD137雙抗療法 獲澳洲同意執行臨床一期,2025-09-02,"圓祥生技, APBIO PTY LTD",圓祥生技,圓祥生技是一家專注於開發創新雙特異性抗體抗癌新藥的生技公司，特別利用CD137 T細胞銜接器平台，旨在提供兼顧療效與安全性的腫瘤免疫療法。,圓祥生技(6945)於昨日(1日)透過其子公司APBIO PTY LTD公告，其研發中的第三項CD137雙特異性抗體抗癌新藥AP601，已獲得澳洲人體試驗倫理委員會的同意，將在澳洲執行臨床一期試驗。總經理何正宏指出，AP601是公司近三年來，繼AP203(PD-L1 × CD137)和AP402(p95HER2 × CD137)之後，第三款基於CD137 T細胞銜接器平台進入臨床階段的療法。AP203目前已在臺灣五家醫學中心進行臨床一期試驗，而AP402則於2025年4月在澳洲完成首例收案。這三款候選藥物皆採用「條件式活化」雙特異性抗體分子設計，能精準鎖定腫瘤標靶並啟動T細胞，以確保療效與安全性。AP601主要針對晚期實體腫瘤且對現有療法失效的患者，其作用機制結合辨識CD73高表現腫瘤細胞與活化T細胞上的CD137訊號通路，藉此提升T細胞活性，深入腫瘤微環境以毒殺癌細胞。,"Oneness Biotech (6945), through its subsidiary APBIO PTY LTD, announced yesterday (September 1st) that its third CD137 bispecific antibody anticancer drug candidate, AP601, has received approval from the Australian Human Research Ethics Committee to proceed with a Phase I clinical trial in Australia. General Manager Ho Cheng-Hung stated that AP601 is the company's third bispecific antibody therapy developed on its CD137 T-cell engager platform to enter clinical trials in the past three years. The previous two products are AP203 (PD-L1 × CD137), currently undergoing Phase I trials at five medical centers in Taiwan, and AP402 (p95HER2 × CD137), which completed its first patient enrollment in Australia in April 2025. All three drug candidates utilize the team's ""conditional activation"" bispecific antibody molecular design, which precisely targets specific tumor markers with one end while activating T-cells with the other, ensuring both efficacy and safety. AP601 is primarily aimed at patients with advanced solid tumors who have failed existing therapies. Its mechanism of action combines two key features: identifying tumor cells with high CD73 expression and activating the CD137 signaling pathway on T-cells, thereby enhancing T-cell activity and guiding them deep into the tumor microenvironment to eliminate cancer cells.",2025-09-03 03:18:50
80096,https://news.gbimonthly.com/tw/article/show.php?num=80096,首款罕見血液疾病BTK抑制劑獲批！ 賽諾菲37億美元收購有成,2025-09-02,"Sanofi, Principia Biopharma, Leerink",Sanofi,賽諾菲是一家全球領先的製藥公司，致力於研發、生產及銷售創新藥物和疫苗，以改善人類健康。,"美國食品藥物管理局(FDA)於8月29日批准首款治療免疫性血小板低下紫斑症(ITP)的BTK抑制劑Wayrilz (rilzabrutinib)。此項批准是基於樞紐臨床三期試驗LUNA 3的積極結果，該試驗顯示Wayrilz在持續提升血小板數量及改善ITP症狀方面，達成主要與次要終點。賽諾菲計劃於9月向美國患者提供此藥，定價為17,500美元。Wayrilz是一種創新的口服可逆型BTK抑制劑，透過多重免疫調節機制，標靶不同免疫途徑，解決ITP根本病因。賽諾菲在2020年以37億美元收購Principia Biopharma，從而獲得rilzabrutinib的使用權。Leerink分析師預計該藥物的最高銷售額將達到20億至50億美元。Wayrilz已於2025年6月獲阿拉伯聯合大公國批准，目前正接受歐盟與中國監管機關審查，並已獲FDA授予「加速審查」與多項「孤兒藥資格」。","On August 29, the U.S. Food and Drug Administration (FDA) approved Wayrilz (rilzabrutinib), the first BTK inhibitor for the treatment of immune thrombocytopenia (ITP). This approval is based on the positive results from the pivotal Phase 3 LUNA 3 clinical trial, which demonstrated Wayrilz's effectiveness in consistently increasing platelet counts and improving other ITP symptoms, meeting both primary and secondary endpoints. Sanofi plans to make the drug available to U.S. patients in September, priced at $17,500. Wayrilz is an innovative oral, reversible BTK inhibitor that targets various immune pathways through multi-immune modulation to address the underlying causes of ITP. Sanofi acquired the rights to rilzabrutinib in 2020 through a $3.7 billion acquisition of Principia Biopharma. Leerink analysts project peak sales for the drug to reach $2 billion to $5 billion. Wayrilz was approved in the United Arab Emirates in June 2025 and is currently under review by regulatory bodies in the EU and China. It has also received FDA Fast Track designation and multiple Orphan Drug Designations for various rare diseases.",2025-09-03 03:18:38
80097,https://news.gbimonthly.com/tw/article/show.php?num=80097,全福斥1.5億入股康百事持股達42% 強化新藥開發、精準醫療發展,2025-09-02,"全福生技 (Allgenesis Biotherapeutics), 康百事生物資訊 (Compass Bioinformatics)",全福生技 (Allgenesis Biotherapeutics),全福生技是一家生技公司，致力於新藥開發，並透過投資和策略轉型，將精準醫療、基因體研究與AI醫療技術整合至其產品篩選與研發流程中。,全福生技(6885)於昨日重訊公告，其臨時董事會已通過投資康百事生物資訊，將以每股新台幣10元的面額參與康百事現增，投資金額上限為1.5億台幣，投資完成後全福將持有康百事約42%的股權。全福指出，此次投資旨在強化其在新藥醫療產業的競爭力，並透過直接投入精準醫療領域，以實現企業永續經營的目標。董事長林羣在法說會上強調，精準醫療與精準治療是全球新藥開發的重要趨勢，因此全福未來在產品標的篩選上將以此為核心，並導入基因體研究與大數據應用，將核心能力與AI醫療技術結合，以期在新藥標的篩選、臨床病人分群及臨床大數據分析上取得關鍵突破。康百事生物資訊成立於2015年，專精於結合人工智慧(AI)、次世代定序(NGS)與基因體學，提供遺傳疾病診斷協助工具，其罕病診斷軟體已於2020年在美國取得軟體醫材(SaMD)認證，並已在日本東京和美國德州設立辦事處積極拓展市場，預計今年第四季可為全福帶來營收貢獻。,"Allgenesis Biotherapeutics (6885) announced yesterday that its ad hoc board meeting approved an investment in Compass Bioinformatics. Allgenesis will participate in Compass's capital increase at NT$10 per share, with an investment ceiling of NT$150 million, resulting in approximately a 42% stake in Compass. Allgenesis stated that this investment aims to strengthen its competitiveness in the new drug development industry and achieve sustainable business goals by directly entering the precision medicine field. Chairman Lin Chun emphasized at the investor conference that precision medicine and precision therapy are critical global trends in new drug development. Therefore, Allgenesis's future product target selection will be centered on this, integrating genomic research and big data applications. He stressed that Allgenesis's core capabilities must combine with AI medical technology to achieve breakthroughs in new drug target screening, clinical patient stratification, and clinical big data analysis. Compass Bioinformatics, established in 2015, specializes in combining artificial intelligence (AI), next-generation sequencing (NGS), and genomics to provide diagnostic tools for genetic diseases. Its rare disease diagnostic software obtained SaMD certification in the US in 2020. Compass has also established offices in Tokyo, Japan, and Texas, USA, to actively expand these markets, with revenue contributions expected for Allgenesis in the fourth quarter of this year.",2025-09-03 03:18:27
